id   | kingdom     | moon name
-----+-------------+------------------------------------
2    | Snow        | Moon Shards in the Snow
3    | Snow        | Taking Notes: Snow Path Dash
4    | Snow        | Fishing in the Glacier!
6    | Snow        | Above the Freezing Fishing Pond
7    | Snow        | Ice Floe Swimming
8    | Snow        | Shining on High
9    | Snow        | Deep in the Cold, Cold Water
10   | Snow        | It Popped Out of the Ice
12   | Snow        | Dashing Over Cold Water!
13   | Snow        | Dashing Above and Beyond!
14   | Snow        | Jump 'n' Swim in the Freezing Water
15   | Snow        | Freezing Water Near the Ceiling
16   | Snow        | Atop a Blustery Arch
17   | Snow        | The Icicle Barrier
18   | Snow        | The Gusty Barrier
19   | Snow        | Peach in the Snow Kingdom
20   | Snow        | Ice-Dodging Goomba Stack
21   | Snow        | Behind Snowy Mountain
22   | Snow        | The Ice Wall Barrier
23   | Snow        | The Shiverian Treasure Chest
24   | Snow        | Treasure in the Ice Wall
25   | Snow        | The Snowy Mountain Barrier
31   | Snow        | Running the Flower Road
32   | Snow        | Looking Back on the Flower Road
33   | Snow        | Blowing and Sliding
35   | Sand        | Through the Freezing Waterway
36   | Sand        | Freezing Waterway: Hidden Room
37   | Metro       | New Donk City's Pest Problem
38   | Metro       | Inside an Iron Girder
39   | Metro       | Swaying in the Breeze
40   | Metro       | Secret Path to New Donk City!
41   | Metro       | Guitarist on Board!
42   | Metro       | Drummer on Board!
43   | Metro       | Trumpeter on Board!
44   | Metro       | Bassist on Board!
46   | Metro       | How You Doin', Captain Toad?
49   | Metro       | Who Piled Garbage on This?
50   | Metro       | Bench Friends
51   | Metro       | Jump-Rope Genius
53   | Metro       | Remotely Captured Car
54   | Metro       | Girder Sandwich
59   | Metro       | Secret Girder Tunnel!
60   | Metro       | Jump-Rope Hero
61   | Metro       | Dizzying Heights
62   | Metro       | Hidden in the Scrap
65   | Metro       | Glittering Above the Pool
68   | Metro       | How Do They Take Out the Trash?
69   | Metro       | City Gardening: Rooftop Planter
70   | Metro       | City Gardening: Building Planter
71   | Metro       | City Gardening: Plaza Planter
74   | Metro       | Out of a Crate in the City
75   | Metro       | Peach in the Metro Kingdom
77   | Metro       | Left at the Café?
78   | Metro       | Crossing Lines
81   | Metro       | Hat-and-Seek: In the City
82   | Metro       | Found in the Park! Good Dog!
84   | Metro       | Hanging Between Buildings
95   | Metro       | A Traditional Festival!
96   | Metro       | A Request from the Mayor
97   | Metro       | Mario Signs His Name
99   | Metro       | Caught Hopping on a Building!
100  | Metro       | City Hall Lost & Found
101  | Metro       | Shopping in New Donk City
102  | Metro       | Taking Notes: In the Private Room
103  | Metro       | Hanging from a High-Rise
104  | Metro       | Vaulting Up a High-Rise
105  | Metro       | RC Car Pro!
106  | Metro       | RC Car Champ!
107  | Metro       | Powering Up the Station
113  | Metro       | Sharpshooting Under Siege
114  | Metro       | Moon Shards Under Siege
115  | Metro       | Bullet Billding
116  | Metro       | One Man's Trash...
118  | Metro       | Inside the Rotating Maze
119  | Metro       | Outside the Rotating Maze
121  | Metro       | Off the Beaten Wire
122  | Metro       | Rewiring the Neighborhood
123  | Metro       | Motor Scooter Daredevil!
124  | Metro       | Full-Throttle Scooting!
125  | Metro       | Swinging Scaffolding: Jump!
126  | Metro       | Swinging Scaffolding: Break!
129  | Wooded      | Road to Sky Garden
